Season,Team,LG,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
2008,LAD,NL,0,0,4.5,2,0,0,0,1,0,0,2,1,1,1,0,32,0,2,0,1,0.167,1.5,0.25
2009,LAD,NL,0,1,6.08,3,2,0,0,0,0,0,13.1,14,9,9,3,235,1,7,1,10,0.286,1.58,1
2013,LAD,NL,1,2,3.13,4,4,0,0,0,0,0,23,18,11,8,0,385,0,7,1,28,0.209,1.09,1.41
2014,LAD,NL,0,2,7.82,2,2,0,0,0,0,0,12.2,12,11,11,3,212,0,2,0,19,0.245,1.11,1
2015,LAD,NL,1,1,2.63,2,2,0,0,0,0,0,13.2,7,4,4,2,207,0,5,0,19,0.149,0.88,0.83
2016,LAD,NL,2,1,4.44,5,4,0,0,0,1,1,24.1,24,13,12,2,395,0,4,0,29,0.253,1.15,0.5
2017,LAD,NL,3,0,3.82,6,5,0,0,0,0,0,33,21,14,14,8,496,0,10,2,33,0.179,0.94,1.21
2018,LAD,NL,2,3,4.2,6,5,0,0,0,0,0,30,25,15,14,4,443,1,7,1,26,0.229,1.07,1.57
2019,LAD,NL,0,1,7.11,2,1,0,0,0,0,1,6.1,8,5,5,2,105,2,1,0,5,0.308,1.42,1
MLB Career,-,-,9,11,4.43,32,25,0,0,1,1,2,158.1,130,83,78,24,2510,4,45,5,170,0.223,1.11,1.04
