,Team,LG,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
2008,LAD,NL,5,5,4.26,22,21,0,0,1,0,0,107.2,109,51,51,11,1873,1,52,3,100,0.265,1.5,1.65
2009,LAD,NL,8,8,2.79,31,30,0,0,0,0,0,171,119,55,53,7,3046,1,91,4,185,0.2,1.23,0.91
2010,LAD,NL,13,10,2.91,32,32,1,1,0,0,0,204.1,160,73,66,13,3390,7,81,9,212,0.214,1.18,0.93
2011,LAD,NL,21,5,2.28,33,33,5,2,0,0,0,233.1,174,66,59,15,3469,3,54,2,248,0.207,0.98,0.95
2012,LAD,NL,14,9,2.53,33,33,2,2,0,0,0,227.2,170,70,64,16,3468,5,63,5,229,0.21,1.02,1.22
2013,LAD,NL,16,9,1.83,33,33,3,2,0,0,0,236,164,55,48,11,3428,3,52,2,232,0.195,0.92,1.19
2014,LAD,NL,21,3,1.77,27,27,6,2,0,0,0,198.1,139,42,39,9,2722,2,31,0,239,0.196,0.86,1.52
2015,LAD,NL,16,7,2.13,33,33,4,3,0,0,0,232.2,163,62,55,15,3392,5,42,1,301,0.194,0.88,1.35
2016,LAD,NL,12,4,1.69,21,21,3,3,0,0,0,149,97,31,28,8,2062,2,11,1,172,0.184,0.72,1.3
2017,LAD,NL,18,4,2.31,27,27,1,0,0,0,0,175,136,49,45,23,2521,0,30,0,202,0.212,0.95,1.26
2018,LAD,NL,9,5,2.73,26,26,0,0,0,0,0,161.1,139,55,49,17,2364,2,29,0,155,0.227,1.04,1.24
2019,LAD,NL,16,5,3.03,29,28,0,0,0,0,0,178.1,145,63,60,28,2672,2,41,0,189,0.222,1.04,1.19
MLB Career,-,-,169,74,2.44,347,344,25,15,1,0,0,2274.2,1715,672,617,173,34407,33,577,27,2464,0.208,1.01,1.19
